pmid,title,journal,pub_date,year,first_author,num_authors
41809600,"Keratinases: microbial sources, mechanisms, and industrial applications in waste valorization.",Frontiers in microbiology,2026,2026,Chu Y,8
41558603,Multi-targeted synergy of Bacillus sp. TC5 fermentation products for transdermal drug delivery and hair regeneration.,Journal of advanced research,2026 Jan 18,2026,Liu D,9
41486932,"Proteolytic enzymes from Bacillus subtilis AB2 as antibiofilm adjuvants: Bioprocess optimization, mechanistic insights, and synergy with antibiotics.","Journal of microbiology (Seoul, Korea)",2025 Dec,2025,Baghdadi AM,1
41486930,Multi-omic profiling reveals the impact of keratinase kerZJ on mouse gut homeostasis.,"Journal of microbiology (Seoul, Korea)",2025 Dec,2025,Gan X,10
41297294,Overexpression of Keratinase Candidate from Bacillus velezensis LPL061 in Escherichia coli BL21(DE3).,Enzyme and microbial technology,2026 Mar,2026,Sagita D,7
41221799,Synergistic Therapeutic Efficacy of Engineered Probiotics Embedded in Self-Assembling Keratin Hydrogels for Ulcerative Colitis Treatment.,ACS applied bio materials,2025 Dec 15,2025,Wen Y,9
41156730,Microbial Keratinolysis: Eco-Friendly Valorisation of Keratinous Waste into Functional Peptides.,Microorganisms,2025 Sep 27,2025,Mpaka L,3
41130147,Whole genome sequencing of terbinafine-sensitive canine strains of Trichophyton indotineae isolated from India.,Journal de mycologie medicale,2025 Dec,2025,Thomas P,13
40925529,Sucrose induces simultaneous autolysis attenuation and keratinase production enhancement in Bacillus subtilis WB600.,Bioresource technology,2026 Jan,2026,He YN,8
40751426,Directed evolution modification of the keratinase KerD21 and application in feather powder fermented feed.,Journal of the science of food and agriculture,2025 Nov,2025,Chen Y,8
40696551,Unlocking the Keratinolytic Potential of Brevibacillus agri Derived Keratinase: A Molecular Characterization Study.,Protein and peptide letters,2025,2025,Batool H,7
40336813,Keratinase and its diverse applications.,3 Biotech,2025 Jun,2025,Thadiyan V,3
40308531,Current Understanding of Feather Keratin and Keratinase and Their Applications in Biotechnology.,Biochemistry research international,2025,2025,Moktip T,6
40217210,"Green synthesis of silver nanoparticles using Keratinase from Pseudomonas aeruginosa-C1M, characterization and applications as novel multifunctional biocatalyst.",BMC biotechnology,2025 Apr 11,2025,Saba M,9
39970752,Characterization of keratinase from Chryseobacterium camelliae Dolsongi-HT1 and efficacy on skin exfoliation.,Enzyme and microbial technology,2025 May,2025,Kim EM,4
39713256,Natural serine proteases and their applications in combating amyloid formation.,ADMET & DMPK,2024,2024,Metkar SK,4
39630326,Biotechnological properties of Bacillus amylolyquefaciens B65 isolated from an artisanal tannery.,World journal of microbiology & biotechnology,2024 Dec 4,2024,Alemán IMV,5
39532595,Cutaneous infection in an immunocompromised domestic cat caused by Setosphaeria turcica (Luttr.) Leonard & Suggs.,Revista Argentina de microbiologia,2024 Oct-Dec,2024,Antonelo FA,5
39130729,Pathogenicity and enzyme screening of some selected non-dermatophytic moulds.,Access microbiology,2024,2024,Nwofor CN,3
38911927,New advances in protein engineering for industrial applications: Key takeaways.,Open life sciences,2024,2024,Ndochinwa GO,8
38860143,Identification of molecular interactions of pesticides with keratinase for their potential to inhibit keratin biodegradation.,In silico pharmacology,2024,2024,Gahatraj I,9
38494637,A Biomimetic Synthetic Strategy Can Provide Keratan Sulfate I and II Oligosaccharides with Diverse Fucosylation and Sulfation Patterns.,Journal of the American Chemical Society,2024 Apr 3,2024,Wu Y,7
38479096,Molecular strategies to enhance the keratinase gene expression and its potential implications in poultry feed industry.,Poultry science,2024 May,2024,Saeed M,5
38244699,Improvement in organic solvent resistance of keratinase BLk by directed evolution.,Journal of biotechnology,2024 Feb 20,2024,Zhu F,10
38057391,"Identification and characterization of a versatile keratinase, KerZJ, from Stenotrophomonas sp. LMY.",World journal of microbiology & biotechnology,2023 Dec 7,2023,Peng H,11
37840088,Beyond tradition: a novel approach for edible bird nest cleaning and its processing.,Veterinary research communications,2024 Feb,2024,Ramli ANM,6
37750916,Bioconversion of feather waste into bioactive nutrients in water by Bacillus licheniformis WHU.,Applied microbiology and biotechnology,2023 Dec,2023,Zhang J,7
37715883,Recent Review on the Extraction and Qualitative Assay of Cysteine and Other Amino Acids from Vellore Feather Waste and Molecular Docking Studies of Cysteine for Pharmacological Applications.,Molecular biotechnology,2025 Aug,2025,Kamaraj S,2
37623723,"Secondary Metabolites, Biological Activities, and Industrial and Biotechnological Importance of Aspergillus sydowii.",Marine drugs,2023 Aug 5,2023,Ibrahim SRM,10
37463953,Synthesis and characterization of keratinase laden green synthesized silver nanoparticles for valorization of feather keratin.,Scientific reports,2023 Jul 18,2023,Sharma I,3
37234543,Biochemical and molecular characterization of novel keratinolytic protease from Bacillus licheniformis (KRLr1).,Frontiers in microbiology,2023,2023,Rahimnahal S,12
36619300,"Phytochemical Screening, Antifungal, and Anticancer Activities of Medicinal Plants Thymelaea Hirsuta, Urginea Maritima, and Plantago Albicans.",BioMed research international,2022,2022,El-Bondkly EAM,7
36585993,"Genome sequence analysis and characterization of Bacillus altitudinis B12, a polylactic acid- and keratin-degrading bacterium.",Molecular genetics and genomics : MGG,2023 Mar,2023,Bordel S,4
36430474,Therapeutic Textiles Functionalized with Keratin-Based Particles Encapsulating Terbinafine for the Treatment of Onychomycosis.,International journal of molecular sciences,2022 Nov 13,2022,Costa AF,6
